file	wordpress_id	source_url	guid_url	published_at	modified_at	post_name	archived_file
2024-01-15-getting-non-functional-requirements-from-business-people.md	46	https://www.wouteronarchitecture.com/getting-non-functional-requirements-from-business-people/	https://wouteronarchitecture.azurewebsites.net/?p=46	2024-01-15 06:30:00	2025-01-25 06:31:35	getting-non-functional-requirements-from-business-people	2024-01-15-getting-non-functional-requirements-from-business-people.46.html
2024-01-16-sentix-long-term-investor-trends.md	49	https://www.wouteronarchitecture.com/sentix-long-term-investor-trends/	https://wouteronarchitecture.azurewebsites.net/?p=49	2024-01-16 06:32:00	2025-01-25 06:33:45	sentix-long-term-investor-trends	2024-01-16-sentix-long-term-investor-trends.49.html
2024-02-06-c-string-comparison-explained.md	52	https://www.wouteronarchitecture.com/c-string-comparison-explained/	https://wouteronarchitecture.azurewebsites.net/?p=52	2024-02-06 06:34:00	2025-01-25 06:35:36	c-string-comparison-explained	2024-02-06-c-string-comparison-explained.52.html
2024-02-09-choosing-a-cosmosdb-consistency-level.md	61	https://www.wouteronarchitecture.com/choosing-a-cosmosdb-consistency-level/	https://wouteronarchitecture.azurewebsites.net/?p=61	2024-02-09 06:58:00	2025-01-25 07:00:02	choosing-a-cosmosdb-consistency-level	2024-02-09-choosing-a-cosmosdb-consistency-level.61.html
2024-02-09-value-objects-in-c-part-1.md	54	https://www.wouteronarchitecture.com/value-objects-in-c-part-1/	https://wouteronarchitecture.azurewebsites.net/?p=54	2024-02-09 06:44:00	2025-01-25 06:57:54	value-objects-in-c-part-1	2024-02-09-value-objects-in-c-part-1.54.html
2024-02-14-value-objects-in-c-part-2.md	63	https://www.wouteronarchitecture.com/value-objects-in-c-part-2/	https://wouteronarchitecture.azurewebsites.net/?p=63	2024-02-14 07:00:00	2025-01-25 07:07:04	value-objects-in-c-part-2	2024-02-14-value-objects-in-c-part-2.63.html
2024-03-04-overriding-application-insights-log-levels.md	65	https://www.wouteronarchitecture.com/overriding-application-insights-log-levels/	https://wouteronarchitecture.azurewebsites.net/?p=65	2024-03-04 07:02:00	2025-01-25 07:06:45	overriding-application-insights-log-levels	2024-03-04-overriding-application-insights-log-levels.65.html
2024-07-08-adding-a-correlationid-for-exceptions-for-application-insights-draft.md	66	https://www.wouteronarchitecture.com/adding-a-correlationid-for-exceptions-for-application-insights-draft/	https://wouteronarchitecture.azurewebsites.net/?p=66	2024-07-08 07:02:00	2025-01-25 07:05:53	adding-a-correlationid-for-exceptions-for-application-insights-draft	2024-07-08-adding-a-correlationid-for-exceptions-for-application-insights-draft.66.html
2024-09-04-optimal-usage-of-global-usings.md	68	https://www.wouteronarchitecture.com/optimal-usage-of-global-usings/	https://wouteronarchitecture.azurewebsites.net/?p=68	2024-09-04 07:03:00	2025-01-25 07:09:20	optimal-usage-of-global-usings	2024-09-04-optimal-usage-of-global-usings.68.html
2024-09-05-eagerly-consuming-a-collection-of-completing-tasks.md	78	https://www.wouteronarchitecture.com/eagerly-consuming-a-collection-of-completing-tasks/	https://wouteronarchitecture.azurewebsites.net/?p=78	2024-09-05 07:13:00	2025-01-25 07:17:56	eagerly-consuming-a-collection-of-completing-tasks	2024-09-05-eagerly-consuming-a-collection-of-completing-tasks.78.html
2024-09-06-smart-cleanup-of-unused-references.md	73	https://www.wouteronarchitecture.com/smart-cleanup-of-unused-references/	https://wouteronarchitecture.azurewebsites.net/?p=73	2024-09-06 07:08:00	2025-01-25 07:23:17	smart-cleanup-of-unused-references	2024-09-06-smart-cleanup-of-unused-references.73.html
2024-09-15-records-and-interfaces-here-be-dragons.md	83	https://wouteronarchitecture.com/records-and-interfaces-here-be-dragons/	https://wouteronarchitecture.azurewebsites.net/?p=83	2024-09-15 07:22:00	2025-01-25 07:27:59	records-and-interfaces-here-be-dragons	2024-09-15-records-and-interfaces-here-be-dragons.83.html
2025-01-05-frequently-overlooked-architectural-characteristics-video-review.md	90	https://www.wouteronarchitecture.com/frequently-overlooked-architectural-characteristics-video-review/	https://wouteronarchitecture.azurewebsites.net/?p=90	2025-01-05 07:29:56	2025-01-25 07:31:33	frequently-overlooked-architectural-characteristics-video-review	2025-01-05-frequently-overlooked-architectural-characteristics-video-review.90.html
2025-01-05-you-will-be-assimilated-microsoft-implementations-of-formerly-popular-oss-libraries.md	85	https://www.wouteronarchitecture.com/you-will-be-assimilated-microsoft-implementations-of-formerly-popular-oss-libraries/	https://wouteronarchitecture.azurewebsites.net/?p=85	2025-01-05 07:23:02	2026-03-01 17:18:12	you-will-be-assimilated-microsoft-implementations-of-formerly-popular-oss-libraries	2025-01-05-you-will-be-assimilated-microsoft-implementations-of-formerly-popular-oss-libraries.85.html
2025-01-07-david-deutsch-on-unsustainability-climate-optimism.md	91	https://www.wouteronarchitecture.com/david-deutsch-on-unsustainability-climate-optimism/	https://wouteronarchitecture.azurewebsites.net/?p=91	2025-01-07 07:30:00	2025-01-25 07:32:07	david-deutsch-on-unsustainability-climate-optimism	2025-01-07-david-deutsch-on-unsustainability-climate-optimism.91.html
2025-01-09-exploring-options-for-building-rest-apis-with-c-and-deploying-to-azure.md	95	https://www.wouteronarchitecture.com/exploring-options-for-building-rest-apis-with-c-and-deploying-to-azure/	https://wouteronarchitecture.azurewebsites.net/?p=95	2025-01-09 07:32:41	2025-01-25 07:33:21	exploring-options-for-building-rest-apis-with-c-and-deploying-to-azure	2025-01-09-exploring-options-for-building-rest-apis-with-c-and-deploying-to-azure.95.html
2025-01-12-from-layers-to-rings-hexagonal-architectures-explained-by-silas-graffy.md	11	https://www.wouteronarchitecture.com/from-layers-to-rings-hexagonal-architectures-explained-by-silas-graffy/	https://wouteronarchitecture.azurewebsites.net/?p=11	2025-01-12 18:03:07	2025-01-12 21:18:04	from-layers-to-rings-hexagonal-architectures-explained-by-silas-graffy	2025-01-12-from-layers-to-rings-hexagonal-architectures-explained-by-silas-graffy.11.html
2025-01-17-implementing-centralized-package-management.md	96	https://wouteronarchitecture.azurewebsites.net/implementing-centralized-package-management/	https://wouteronarchitecture.azurewebsites.net/?p=96	2025-01-17 07:32:53	2025-01-25 07:35:00	implementing-centralized-package-management	2025-01-17-implementing-centralized-package-management.96.html
2025-01-27-transitive-dependencies-gone-wild-why-your-net-microservice-isnt-running-what-you-think.md	100	https://wouteronarchitecture.azurewebsites.net/transitive-dependencies-gone-wild-why-your-net-microservice-isnt-running-what-you-think/	https://wouteronarchitecture.azurewebsites.net/?p=100	2025-01-27 20:28:00	2025-01-28 09:22:31	transitive-dependencies-gone-wild-why-your-net-microservice-isnt-running-what-you-think	2025-01-27-transitive-dependencies-gone-wild-why-your-net-microservice-isnt-running-what-you-think.100.html
2025-02-07-monkeys-bananas-and-why.md	116	https://wouteronarchitecture.com/monkeys-bananas-and-why/	https://wouteronarchitecture.azurewebsites.net/?p=116	2025-02-07 08:29:00	2025-02-07 08:32:01	monkeys-bananas-and-why	2025-02-07-monkeys-bananas-and-why.116.html
2025-02-08-resultt-libraries.md	84	https://wouteronarchitecture.azurewebsites.net/resultt-libraries/	https://wouteronarchitecture.azurewebsites.net/?p=84	2025-02-08 14:20:57	2025-02-10 14:55:29	resultt-libraries	2025-02-08-resultt-libraries.84.html
2025-02-10-understanding-high-cpu-and-memory-usage-when-to-act-and-when-to-relax.md	133	https://www.wouteronarchitecture.com/understanding-high-cpu-and-memory-usage-when-to-act-and-when-to-relax/	https://www.wouteronarchitecture.com/?p=133	2025-02-10 09:16:57	2025-02-10 09:17:01	understanding-high-cpu-and-memory-usage-when-to-act-and-when-to-relax	2025-02-10-understanding-high-cpu-and-memory-usage-when-to-act-and-when-to-relax.133.html
2025-03-21-validating-dependency-injection.md	174	https://www.wouteronarchitecture.com/validating-dependency-injection/	https://www.wouteronarchitecture.com/?p=174	2025-03-21 09:22:18	2025-03-21 09:22:24	validating-dependency-injection	2025-03-21-validating-dependency-injection.174.html
